09/06/2025-04:51:02.681971  [**] [1:2060502:1] ET INFO Discord Chat Service Domain in DNS Lookup (gateway .discord .gg) [**] [Classification: Misc activity] [Priority: 3] {UDP} 10.42.0.214:41569 -> 10.42.0.1:53
09/06/2025-04:51:02.736787  [**] [1:2060504:1] ET INFO Observed Discord Service Domain (gateway .discord .gg) in TLS SNI [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.214:34300 -> 162.159.130.234:443
09/06/2025-04:51:08.357063  [**] [1:2035465:4] ET INFO Observed Discord Domain in DNS Lookup (discord .com) [**] [Classification: Misc activity] [Priority: 3] {UDP} 10.42.0.214:45388 -> 10.42.0.1:53
09/06/2025-04:51:08.357063  [**] [1:2060503:1] ET INFO Discord Chat Service Domain in DNS Lookup (discord .com) [**] [Classification: Misc activity] [Priority: 3] {UDP} 10.42.0.214:45388 -> 10.42.0.1:53
09/06/2025-04:51:08.473310  [**] [1:2035463:3] ET INFO Observed Discord Domain (discord .com in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.214:32922 -> 162.159.137.232:443
09/06/2025-04:51:08.473310  [**] [1:2060505:1] ET INFO Observed Discord Service Domain (discord .com) in TLS SNI [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.214:32922 -> 162.159.137.232:443
09/06/2025-05:19:28.963953  [**] [1:2035466:4] ET INFO Observed Discord Domain in DNS Lookup (discordapp .com) [**] [Classification: Misc activity] [Priority: 3] {UDP} 10.42.0.214:14570 -> 10.42.0.1:53
09/06/2025-05:19:29.029748  [**] [1:2035464:3] ET INFO Observed Discord Domain (discordapp .com in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.214:54192 -> 162.159.133.233:443
09/06/2025-06:22:09.782535  [**] [1:2035466:4] ET INFO Observed Discord Domain in DNS Lookup (discordapp .com) [**] [Classification: Misc activity] [Priority: 3] {UDP} 10.42.0.214:29745 -> 10.42.0.1:53
09/06/2025-06:22:09.842023  [**] [1:2035464:3] ET INFO Observed Discord Domain (discordapp .com in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.214:58882 -> 162.159.130.233:443
09/06/2025-06:22:10.734183  [**] [1:2035465:4] ET INFO Observed Discord Domain in DNS Lookup (discord .com) [**] [Classification: Misc activity] [Priority: 3] {UDP} 10.42.0.214:18760 -> 10.42.0.1:53
09/06/2025-06:22:10.734183  [**] [1:2060503:1] ET INFO Discord Chat Service Domain in DNS Lookup (discord .com) [**] [Classification: Misc activity] [Priority: 3] {UDP} 10.42.0.214:18760 -> 10.42.0.1:53
09/06/2025-06:22:10.735739  [**] [1:2035465:4] ET INFO Observed Discord Domain in DNS Lookup (discord .com) [**] [Classification: Misc activity] [Priority: 3] {UDP} 10.42.0.214:16128 -> 10.42.0.1:53
09/06/2025-06:22:10.735739  [**] [1:2060503:1] ET INFO Discord Chat Service Domain in DNS Lookup (discord .com) [**] [Classification: Misc activity] [Priority: 3] {UDP} 10.42.0.214:16128 -> 10.42.0.1:53
09/06/2025-06:22:10.790387  [**] [1:2035463:3] ET INFO Observed Discord Domain (discord .com in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.214:54372 -> 162.159.137.232:443
09/06/2025-06:22:10.790387  [**] [1:2060505:1] ET INFO Observed Discord Service Domain (discord .com) in TLS SNI [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.214:54372 -> 162.159.137.232:443
09/06/2025-06:22:10.790388  [**] [1:2035463:3] ET INFO Observed Discord Domain (discord .com in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.214:54362 -> 162.159.137.232:443
09/06/2025-06:22:10.790388  [**] [1:2060505:1] ET INFO Observed Discord Service Domain (discord .com) in TLS SNI [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.214:54362 -> 162.159.137.232:443
09/06/2025-08:08:22.499799  [**] [1:2036220:6] ET INFO Android Device Connectivity Check [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.214:51258 -> 142.250.70.195:80
09/06/2025-08:08:26.409262  [**] [1:2060502:1] ET INFO Discord Chat Service Domain in DNS Lookup (gateway .discord .gg) [**] [Classification: Misc activity] [Priority: 3] {UDP} 10.42.0.214:49612 -> 10.42.0.1:53
